date,ticker,factor
2014-01-30,002234.SZ,801010.SI
2014-01-30,002235.SZ,801140.SI
2014-01-30,002237.SZ,801050.SI
2014-01-30,002239.SZ,801130.SI
2014-01-30,002240.SZ,801140.SI
2014-01-30,002241.SZ,801080.SI
2014-01-30,002242.SZ,801110.SI
2014-01-30,002243.SZ,801140.SI
2014-01-30,002244.SZ,801180.SI
2014-01-30,002245.SZ,801170.SI
2014-01-30,002246.SZ,801030.SI
2014-01-30,002247.SZ,801140.SI
2014-01-30,002250.SZ,801030.SI
2014-01-30,002251.SZ,801200.SI
2014-01-30,002252.SZ,801150.SI
2014-01-30,002254.SZ,801030.SI
2014-01-30,002256.SZ,801030.SI
2014-01-30,002258.SZ,801030.SI
2014-01-30,002259.SZ,801140.SI
2014-01-30,002260.SZ,801110.SI
2014-01-30,002262.SZ,801150.SI
2014-01-30,002263.SZ,801140.SI
2014-01-30,002264.SZ,801200.SI
2014-01-30,002267.SZ,801160.SI
2014-01-30,002269.SZ,801130.SI
2014-01-30,002273.SZ,801080.SI
2014-01-30,002274.SZ,801030.SI
2014-01-30,002275.SZ,801150.SI
2014-01-30,002277.SZ,801200.SI
2014-01-30,002285.SZ,801180.SI
2014-01-30,002286.SZ,801010.SI
2014-01-30,002287.SZ,801150.SI
2014-01-30,002288.SZ,801080.SI
2014-01-30,002289.SZ,801080.SI
2014-01-30,002290.SZ,801110.SI
2014-01-30,002291.SZ,801130.SI
2014-01-30,002293.SZ,801130.SI
2014-01-30,002294.SZ,801150.SI
2014-01-30,002295.SZ,801050.SI
2014-01-30,002299.SZ,801010.SI
2014-01-30,002301.SZ,801140.SI
2014-01-30,002303.SZ,801140.SI
2014-01-30,002304.SZ,801120.SI
2014-01-30,002305.SZ,801180.SI
2014-01-30,002306.SZ,801210.SI
2014-01-30,002311.SZ,801010.SI
2014-01-30,002317.SZ,801150.SI
2014-01-30,002318.SZ,801040.SI
2014-01-30,002319.SZ,801030.SI
2014-01-30,002320.SZ,801170.SI
2014-01-30,002321.SZ,801010.SI
2014-01-30,002324.SZ,801030.SI
2014-01-30,002326.SZ,801030.SI
2014-01-30,002327.SZ,801130.SI
2014-01-30,002329.SZ,801120.SI
2014-01-30,002330.SZ,801120.SI
2014-01-30,002332.SZ,801150.SI
2014-01-30,002336.SZ,801200.SI
2014-01-30,002340.SZ,801050.SI
2014-01-30,002341.SZ,801080.SI
2014-01-30,002343.SZ,801030.SI
2014-01-30,002344.SZ,801200.SI
2014-01-30,002345.SZ,801140.SI
2014-01-30,002348.SZ,801140.SI
2014-01-30,002349.SZ,801150.SI
2014-01-30,002351.SZ,801080.SI
2014-01-30,002354.SZ,801140.SI
2014-01-30,002357.SZ,801170.SI
2014-01-30,002360.SZ,801030.SI
2014-01-30,002361.SZ,801030.SI
2014-01-30,002365.SZ,801150.SI
2014-01-30,002366.SZ,801110.SI
2014-01-30,002369.SZ,801080.SI
2014-01-30,002370.SZ,801150.SI
2014-01-30,002371.SZ,801080.SI
