date,secID,factor
2014-01-30,000983.SZ,18875688000.0
2014-01-30,000985.SZ,1236760830.0
2014-01-30,000987.SZ,3248570868.35
2014-01-30,000988.SZ,6139793594.48
2014-01-30,000989.SZ,3946245853.68
2014-01-30,000990.SZ,3086166781.46
2014-01-30,000993.SZ,2405850000.0
2014-01-30,000995.SZ,1241856000.0
2014-01-30,000996.SZ,3226900000.0
2014-01-30,000997.SZ,9271545321.22
2014-01-30,000998.SZ,11604565000.0
2014-01-30,000999.SZ,23708958000.0
2014-01-30,001696.SZ,5015217909.6
2014-01-30,001896.SZ,3758781987.9
2014-01-30,002001.SZ,12660498240.0
2014-01-30,002002.SZ,6191895291.6
2014-01-30,002003.SZ,2978362069.0
2014-01-30,002004.SZ,8641303617.6
2014-01-30,002005.SZ,10590912000.0
2014-01-30,002006.SZ,3076881600.0
2014-01-30,002007.SZ,17456489740.0
2014-01-30,002008.SZ,16083707640.0
2014-01-30,002009.SZ,4279074257.26
2014-01-30,002010.SZ,5250664800.0
2014-01-30,002011.SZ,7051053565.6
2014-01-30,002012.SZ,2398918661.1
2014-01-30,002013.SZ,12047935801.5
2014-01-30,002014.SZ,2853644022.0
2014-01-30,002015.SZ,1233303987.4
2014-01-30,002016.SZ,4212543520.64
2014-01-30,002017.SZ,4243876390.22
2014-01-30,002018.SZ,10525960403.6
2014-01-30,002019.SZ,5940319000.0
2014-01-30,002020.SZ,3837948539.6
2014-01-30,002021.SZ,3475028044.8
2014-01-30,002022.SZ,11248540875.0
2014-01-30,002023.SZ,5691683152.65
2014-01-30,002024.SZ,76635987897.0
2014-01-30,002025.SZ,4339500000.0
2014-01-30,002026.SZ,1724814000.0
2014-01-30,002027.SZ,2457984493.08
2014-01-30,002028.SZ,7267910400.0
2014-01-30,002029.SZ,5130999300.0
2014-01-30,002030.SZ,7436841977.5
2014-01-30,002031.SZ,4269624475.5
2014-01-30,002032.SZ,8760982686.72
2014-01-30,002033.SZ,2719324659.64
2014-01-30,002034.SZ,1166144000.0
2014-01-30,002035.SZ,3334419597.75
2014-01-30,002036.SZ,1466304525.0
2014-01-30,002037.SZ,3044523888.0
2014-01-30,002038.SZ,23970394800.0
2014-01-30,002039.SZ,2249770143.4
2014-01-30,002040.SZ,1362130880.0
2014-01-30,002041.SZ,10616320000.0
2014-01-30,002042.SZ,3590197989.63
2014-01-30,002043.SZ,1692071208.0
2014-01-30,002044.SZ,1520415000.0
2014-01-30,002045.SZ,2447226480.0
2014-01-30,002046.SZ,2278983566.64
2014-01-30,002047.SZ,6334319038.25
2014-01-30,002048.SZ,5751011577.5
2014-01-30,002049.SZ,14047835959.2
2014-01-30,002050.SZ,6423163185.6
2014-01-30,002051.SZ,11597090577.8
2014-01-30,002052.SZ,7888184465.7
2014-01-30,002053.SZ,1360430073.96
2014-01-30,002054.SZ,2124881788.54
2014-01-30,002055.SZ,4820775490.4
2014-01-30,002056.SZ,6915447000.0
2014-01-30,002057.SZ,1383708789.8
2014-01-30,002058.SZ,1169103905.8
2014-01-30,002059.SZ,2667686414.85
2014-01-30,002060.SZ,2500705080.64
2014-01-30,002061.SZ,2071048246.74
2014-01-30,002062.SZ,2581875000.0
2014-01-30,002063.SZ,8903787652.09
2014-01-30,002064.SZ,7051720000.0
2014-01-30,002065.SZ,27210981203.9
2014-01-30,002066.SZ,1171170000.0
2014-01-30,002067.SZ,2231660040.0
2014-01-30,002068.SZ,1913999808.0
2014-01-30,002069.SZ,9386680960.8
